name,price,place,season,time,image_name
モンシロチョウ,160,空中,9月〜6月,4時〜19時,insect_01.png
モンキチョウ,160,空中,3月〜6月、9月〜10月,4時〜19時,insect_02.png
アゲハチョウ,240,空中,3月〜9月,4時〜19時,insect_03.png
カラスアゲハ,2500,空中,3月〜6月,4時〜19時,insect_04.png
アオスジアゲハ,300,空中,4月〜8月,4時〜19時,insect_05.png
オオゴマダラ,1000,空中,いつでも,8時〜19時,insect_06.png
オオムラサキ,3000,空中,5月〜8月,4時〜19時,insect_07.png
オオカバマダラ,140,空中,9月〜11月,4時〜15時,insect_08.png
モルフォチョウ,4000,空中,12月〜3月、6月〜9月,17時〜翌8時,insect_09.png
ミイロタテハ,3000,空中,4月〜9月,8時〜17時,insect_10.png
アカエリトリバネアゲハ,2500,空中,1月〜2月、4月〜9月、12月,8時〜17時,insect_11.png
アレキサンドラトリバネアゲハ,4000,空中," 5月〜9月",8時〜16時,insect_12.png
ガ,130,街灯,いつでも,19時〜翌4時,insect_13.png
ヨナグニサン,3000,木,4月〜9月,19時〜翌4時,insect_14.png
ニシキオオツバメガ,2500,花の近く,4月〜9月,8時〜16時,insect_15.png
ショウリョウバッタ,200,陸,4月〜11月,8時〜19時,insect_16.png
トノサマバッタ,600,陸,8月〜11月,8時〜19時,insect_17.png
イナゴ,400,陸,8月〜11月,8時〜19時,insect_18.png
キリギリス,160,陸,7月〜9月,8時〜17時,insect_19.png
コオロギ,130,陸,9月〜11月,17時〜翌8時,insect_20.png
スズムシ,430,陸,9月〜10月,17時〜翌8時,insect_21.png
カマキリ,430,花,3月〜11月,8時〜17時,insect_22.png
ハナカマキリ,2400,花,3月〜11月,8時〜17時,insect_23.png
ミツバチ,200,花,3月〜7月,8時〜17時,insect_24.png
ハチ,2500,木揺,いつでも,いつでも,insect_25.png
アブラゼミ,250,木,7月〜8月,8時〜17時,insect_26.png
ミンミンゼミ,300,木,7月〜8月,8時〜17時,insect_27.png
クマゼミ,500,木,7月〜8月,8時〜17時,insect_28.png
ツクツクホウシ,400,木,8月〜9月,8時〜17時,insect_29.png
ヒグラシ,550,木,7月〜8月,4時〜8時、16時〜19時,insect_30.png
セミのぬけがら,10,木,7月〜8月,いつでも,insect_31.png
アキアカネ,180,陸,9月〜10月,8時〜17時,insect_32.png
ギンヤンマ,230,陸,4月〜10月,8時〜17時,insect_33.png
オニヤンマ,4500,空中,5月〜10月,8時〜17時,insect_34.png
イトトンボ,500,空中,11月〜2月,いつでも,insect_35.png
ホタル,300,川の近くの空中,6月,19時〜翌4時,insect_36.png
オケラ,500,土の中,1月〜5月、11月〜12月,いつでも,insect_37.png
アメンボ,130,池,5月〜9月,8時〜19時,insect_38.png
ゲンゴロウ,800,池,5月〜9月,8時〜19時,insect_39.png
タガメ,2000,川,4月〜9月,19時〜翌8時,insect_40.png
カメムシ,120,花,3月〜10月,いつでも,insect_41.png
ジンメンカメムシ,1000,花,3月〜10月,19時〜翌7時,insect_42.png
てんとう虫,200,花,3月〜6月、10月,8時〜17時,insect_43.png
ハンミョウ,1500,陸,2月〜10月,いつでも,insect_44.png
タマムシ,2400,切り株,4月〜8月,いつでも,insect_45.png
バイオリンムシ,450,切り株,5月〜6月、9月〜11月,いつでも,insect_46.png
ゴマダラカミキリ,350,切り株,いつでも,いつでも,insect_47.png
ルリボシカミキリ,3000,切り株,5月〜9月,いつでも,insect_48.png
ホウセキゾウムシ,800,ヤシの木,7月〜8月,いつでも,insect_49.png
フンコロガシ,3000,雪玉,12月〜2月,いつでも,insect_50.png
オオセンチコガネ,300,陸,7月〜9月,いつでも,insect_51.png
プラチナコガネ,10000,木、ヤシの木,7月〜8月,23時〜翌8時,insect_52.png
カナブン,200,木,6月〜8月,いつでも,insect_53.png
ゴライアスオオツノハナムグリ,8000,ヤシの木,6月〜9月,17時〜翌8時,insect_54.png
ノコギリクワガタ,2000,木、ヤシの木,7月〜8月,いつでも,insect_55.png
ミヤマクワガタ,1000,木,7月〜8月,いつでも,insect_56.png
オオクワガタ,10000,木、ヤシの木,7月〜8月,23時〜翌8時,insect_57.png
ニジイロクワガタ,6000,木、ヤシの木,6月〜9月,19時〜翌8時,insect_58.png
ホソアカクワガタ,8000,ヤシの木,7月〜8月,17時〜翌8時,insect_59.png
オウゴンオニクワガタ,12000,ヤシの木,7月〜8月,17時〜翌8時,insect_60.png
ギラファノコギリクワガタ,12000,ヤシの木,7月〜8月,17時〜翌8時,insect_61.png
カブトムシ,1350,木,7月〜8月,17時〜翌8時,insect_62.png
コーカサスオオカブト,8000,ヤシの木,7月〜8月,17時〜翌8時,insect_63.png
ゾウカブト,8000,ヤシの木,7月〜8月,17時〜翌8時,insect_64.png
ヘラクレスオオカブト,12000,ヤシの木,7月〜8月,17時〜翌8時,insect_65.png
ナナフシ,600,ヤシの木、木,7月〜11月,4時〜8時、17時〜19時,insect_66.png
コノハムシ,600,木の根元,7月〜9月,いつでも,insect_67.png
ミノムシ,600,木揺,いつでも,いつでも,insect_68.png
アリ,80,カブ,いつでも,いつでも,insect_69.png
ヤドカリ,1000,砂浜,いつでも,いつでも,insect_70.png
フナムシ,200,岩場,いつでも,いつでも,insect_71.png
ハエ,60,長靴、缶、タイヤ、腐ったカブ,いつでも,いつでも,insect_72.png
カ,130,空中,6月〜9月,17時〜翌4時,insect_73.png
ノミ,70,住人,4月〜11月,いつでも,insect_74.png
カタツムリ,250,雨の日の切り株、岩,いつでも,いつでも,insect_75.png
ダンゴムシ,250,岩,9月〜6月,23時〜16時,insect_76.png
ムカデ,300,岩,9月〜6月,16時〜23時,insect_77.png
クモ,600,木揺,いつでも,19時〜翌8時,insect_78.png
タランチュラ,8000,陸,11月〜4月,19時〜翌4時,insect_79.png
サソリ,8000,陸,5月〜10月,19時〜翌4時,insect_80.png